epoch,loss,mean_absolute_error,mean_absolute_percentage_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error
0,0.48274219036102295,0.5238271355628967,159107.296875,0.4512796998023987,0.5136211514472961,161180.59375
1,0.4428223967552185,0.5071868300437927,155430.5625,0.4386926591396332,0.5047035813331604,160995.796875
2,0.43534576892852783,0.5035253167152405,154224.21875,0.4341902732849121,0.502756655216217,161300.171875
3,0.4314953088760376,0.5015785694122314,153493.109375,0.43139708042144775,0.5032301545143127,154357.890625
4,0.42902398109436035,0.500290036201477,153043.0625,0.43039974570274353,0.49905672669410706,159892.21875
5,0.42726144194602966,0.4993857145309448,152894.421875,0.4289885461330414,0.4995540976524353,162217.546875
6,0.4258573651313782,0.4986269474029541,152711.546875,0.4273965358734131,0.4975584149360657,159649.875
7,0.42465922236442566,0.4979891777038574,152505.546875,0.42529311776161194,0.49875882267951965,155449.546875
8,0.4236295819282532,0.49743756651878357,152567.859375,0.4245099425315857,0.4944608807563782,166005.421875
9,0.42271628975868225,0.49693793058395386,152803.8125,0.42376118898391724,0.49891847372055054,156618.15625
10,0.42195379734039307,0.49653032422065735,152355.546875,0.4213418662548065,0.4957813024520874,160184.359375
11,0.42131197452545166,0.4962032735347748,152168.15625,0.4216213524341583,0.49708160758018494,156649.859375
12,0.4206828474998474,0.49584347009658813,152281.625,0.4221894145011902,0.4957283139228821,162689.546875
13,0.42021769285202026,0.4955822825431824,152177.8125,0.4205688536167145,0.49903327226638794,152673.28125
14,0.4197129011154175,0.4952835738658905,152217.171875,0.42116591334342957,0.4982064664363861,156705.609375
15,0.41923409700393677,0.49499621987342834,151688.046875,0.4204523265361786,0.49559468030929565,159392.28125
16,0.418842077255249,0.4947882294654846,152219.46875,0.42057523131370544,0.4986107349395752,156471.46875
17,0.4184756875038147,0.4946068823337555,151839.984375,0.41991761326789856,0.4915548861026764,167317.234375
18,0.4181671738624573,0.49443304538726807,151909.890625,0.4177861213684082,0.49549686908721924,154094.15625
19,0.417844295501709,0.49425506591796875,151857.5,0.41824576258659363,0.49288392066955566,162002.265625
